Department,JobRole,OverTime,JobSatisfaction,EnvironmentSatisfaction,Age_Group,Tenure_Group,Total_Employees,Attrition_Count,Attrition_Rate_Pct,AVG_Salary,Avg_Commute,Avg_Years_With_Manager,Avg_Training_Hours
Research & Development,Research Scientist,true,1,4,30 to 50,3-5 Mid-Tenure,6,2,33.33,3997.5,11.8,2.5,2.7
Research & Development,Research Scientist,false,3,1,Over 50,3-5 Mid-Tenure,2,0,0.0,2919.5,9.0,3.0,5.0
Research & Development,Research Scientist,false,4,3,Under 30,0-2 New Hires,3,0,0.0,2224.0,13.0,1.3,4.7
Research & Development,Research Scientist,false,1,3,30 to 50,0-2 New Hires,2,0,0.0,2845.5,10.0,0.0,2.5
Research & Development,Research Scientist,false,1,2,30 to 50,0-2 New Hires,1,0,0.0,9724.0,7.0,0.0,2.0
Research & Development,Research Scientist,true,1,4,Over 50,6+ Veterans,1,0,0.0,5577.0,6.0,9.0,3.0
Research & Development,Research Scientist,false,4,4,30 to 50,0-2 New Hires,2,0,0.0,4291.0,14.5,1.0,2.0
Research & Development,Research Scientist,false,3,1,Under 30,0-2 New Hires,3,0,0.0,2613.67,5.7,1.3,2.7
Research & Development,Research Scientist,true,1,4,30 to 50,6+ Veterans,1,0,0.0,4615.0,8.0,7.0,2.0
Research & Development,Research Scientist,false,1,3,Under 30,0-2 New Hires,1,0,0.0,2552.0,9.0,0.0,4.0
Research & Development,Research Scientist,false,2,2,30 to 50,6+ Veterans,5,0,0.0,4124.0,9.8,7.4,2.6
Research & Development,Research Scientist,false,3,4,Under 30,0-2 New Hires,2,0,0.0,1648.0,5.5,1.5,2.0
Research & Development,Research Scientist,false,1,1,Over 50,3-5 Mid-Tenure,1,0,0.0,2066.0,1.0,0.0,3.0
Research & Development,Research Scientist,false,4,2,Under 30,0-2 New Hires,1,0,0.0,1051.0,5.0,0.0,2.0
Research & Development,Research Scientist,true,1,4,Under 30,0-2 New Hires,2,2,100.0,2502.0,10.5,0.0,3.5
Research & Development,Research Scientist,true,4,2,30 to 50,0-2 New Hires,1,0,0.0,2515.0,2.0,2.0,2.0
Research & Development,Research Scientist,false,3,2,Over 50,6+ Veterans,1,0,0.0,4900.0,1.0,8.0,2.0
Research & Development,Research Scientist,false,4,4,Under 30,0-2 New Hires,3,1,33.33,2429.33,9.3,0.3,3.7
Research & Development,Research Scientist,false,4,2,30 to 50,6+ Veterans,5,0,0.0,3961.2,9.8,6.4,3.6
Research & Development,Research Scientist,false,3,2,Under 30,3-5 Mid-Tenure,1,0,0.0,3517.0,8.0,2.0,0.0
Research & Development,Research Scientist,true,3,1,Over 50,6+ Veterans,1,1,100.0,2461.0,4.0,7.0,2.0
Research & Development,Research Scientist,true,4,3,30 to 50,3-5 Mid-Tenure,2,0,0.0,4375.0,8.5,2.5,2.0
Research & Development,Research Scientist,true,2,2,Over 50,0-2 New Hires,1,0,0.0,3346.0,9.0,0.0,3.0
Research & Development,Research Scientist,true,4,2,30 to 50,6+ Veterans,2,0,0.0,4475.5,3.5,6.0,3.0
Research & Development,Research Scientist,false,3,1,30 to 50,6+ Veterans,4,1,25.0,3595.25,18.0,8.8,2.8
Research & Development,Research Scientist,false,3,3,Under 30,6+ Veterans,3,1,33.33,2806.0,11.3,6.3,2.7
Research & Development,Research Scientist,false,4,1,30 to 50,6+ Veterans,7,0,0.0,3568.43,10.7,6.7,2.7
Research & Development,Research Scientist,true,3,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,3506.0,6.0,2.0,3.0
Research & Development,Research Scientist,true,1,1,Under 30,6+ Veterans,1,0,0.0,2235.0,14.0,8.0,3.0
Research & Development,Research Scientist,false,1,1,30 to 50,0-2 New Hires,1,1,100.0,2107.0,5.0,0.0,2.0
Research & Development,Research Scientist,false,4,3,30 to 50,0-2 New Hires,2,0,0.0,2945.0,4.0,1.0,2.0
Research & Development,Research Scientist,false,3,2,30 to 50,0-2 New Hires,1,0,0.0,2274.0,2.0,0.0,3.0
Research & Development,Research Scientist,false,4,1,Under 30,3-5 Mid-Tenure,4,0,0.0,3148.75,7.3,1.5,2.5
Research & Development,Research Scientist,false,4,2,Under 30,6+ Veterans,1,0,0.0,2720.0,1.0,8.0,5.0
Research & Development,Research Scientist,false,2,3,Under 30,3-5 Mid-Tenure,2,0,0.0,2535.5,4.0,3.5,3.0
Research & Development,Research Scientist,true,2,4,Under 30,0-2 New Hires,2,1,50.0,2271.0,4.0,1.0,4.0
Research & Development,Research Scientist,true,3,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,4066.0,6.5,1.0,3.0
Research & Development,Research Scientist,true,3,1,30 to 50,6+ Veterans,1,0,0.0,4081.0,6.0,8.0,3.0
Research & Development,Research Scientist,false,1,4,Under 30,0-2 New Hires,1,0,0.0,2109.0,4.0,0.0,2.0
Research & Development,Research Scientist,false,2,1,Under 30,3-5 Mid-Tenure,1,0,0.0,3201.0,2.0,4.0,2.0
Research & Development,Research Scientist,false,1,4,30 to 50,3-5 Mid-Tenure,3,0,0.0,2879.67,2.7,2.3,3.0
Research & Development,Research Scientist,true,4,1,Under 30,6+ Veterans,1,0,0.0,3760.0,2.0,3.0,2.0
Research & Development,Research Scientist,true,4,3,30 to 50,0-2 New Hires,3,1,33.33,3134.0,10.7,0.7,3.0
Research & Development,Research Scientist,false,4,2,30 to 50,3-5 Mid-Tenure,5,0,0.0,3715.2,6.6,2.6,2.4
Research & Development,Research Scientist,true,2,2,Over 50,3-5 Mid-Tenure,1,1,100.0,4963.0,14.0,3.0,2.0
Research & Development,Research Scientist,true,4,2,Under 30,0-2 New Hires,2,1,50.0,2643.5,13.0,0.5,2.0
Research & Development,Research Scientist,false,2,3,Under 30,0-2 New Hires,1,1,100.0,2546.0,25.0,1.0,2.0
Research & Development,Research Scientist,false,3,4,30 to 50,6+ Veterans,3,1,33.33,3728.0,9.3,7.0,2.3
Research & Development,Research Scientist,true,2,1,30 to 50,6+ Veterans,1,0,0.0,3298.0,5.0,5.0,5.0
Research & Development,Research Scientist,true,2,1,30 to 50,0-2 New Hires,1,1,100.0,2313.0,25.0,2.0,0.0
Research & Development,Research Scientist,false,1,3,30 to 50,3-5 Mid-Tenure,3,1,33.33,3801.33,8.3,2.3,2.0
Research & Development,Research Scientist,false,1,2,30 to 50,3-5 Mid-Tenure,2,1,50.0,2577.0,3.5,2.5,2.0
Research & Development,Research Scientist,true,2,3,30 to 50,0-2 New Hires,1,0,0.0,2657.0,9.0,2.0,5.0
Research & Development,Research Scientist,false,4,1,Under 30,0-2 New Hires,1,0,0.0,2061.0,3.0,0.0,5.0
Research & Development,Research Scientist,true,2,4,30 to 50,6+ Veterans,3,1,33.33,2578.0,11.3,7.3,2.7
Research & Development,Research Scientist,false,2,2,30 to 50,0-2 New Hires,1,0,0.0,3022.0,19.0,0.0,1.0
Research & Development,Research Scientist,false,4,3,Under 30,3-5 Mid-Tenure,3,0,0.0,2553.67,16.0,2.3,3.3
Research & Development,Research Scientist,false,2,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,2622.0,4.0,1.0,3.0
Research & Development,Research Scientist,false,1,3,Under 30,6+ Veterans,1,1,100.0,3102.0,3.0,4.0,2.0
Research & Development,Research Scientist,false,3,3,30 to 50,3-5 Mid-Tenure,5,0,0.0,3220.6,6.8,2.2,2.0
Research & Development,Research Scientist,true,4,4,30 to 50,6+ Veterans,3,1,33.33,3503.0,11.3,4.3,2.7
Research & Development,Research Scientist,false,2,1,Over 50,3-5 Mid-Tenure,1,0,0.0,3537.0,22.0,2.0,1.0
Research & Development,Research Scientist,false,2,3,30 to 50,6+ Veterans,4,0,0.0,4693.5,7.0,7.0,2.8
Research & Development,Research Scientist,false,4,3,30 to 50,6+ Veterans,2,0,0.0,4056.5,15.5,5.5,3.0
Research & Development,Research Scientist,true,3,3,30 to 50,0-2 New Hires,2,2,100.0,2598.0,18.0,1.0,3.0
Research & Development,Research Scientist,true,3,3,Under 30,3-5 Mid-Tenure,1,0,0.0,2703.0,6.0,2.0,2.0
Research & Development,Research Scientist,false,3,3,30 to 50,6+ Veterans,1,0,0.0,2936.0,10.0,3.0,1.0
Research & Development,Research Scientist,true,1,3,30 to 50,3-5 Mid-Tenure,3,1,33.33,2728.33,4.3,2.3,1.3
Research & Development,Research Scientist,false,2,3,Over 50,6+ Veterans,1,1,100.0,4941.0,8.0,7.0,3.0
Research & Development,Research Scientist,false,3,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,4739.0,28.0,2.0,2.0
Research & Development,Research Scientist,false,3,2,30 to 50,6+ Veterans,3,0,0.0,3777.67,5.7,6.7,3.7
Research & Development,Research Scientist,true,2,3,Under 30,3-5 Mid-Tenure,2,0,0.0,2768.0,11.0,1.5,2.5
Research & Development,Research Scientist,false,4,3,30 to 50,3-5 Mid-Tenure,3,0,0.0,2676.67,6.3,2.0,3.3
Research & Development,Research Scientist,true,3,3,Under 30,6+ Veterans,1,1,100.0,2366.0,5.0,7.0,2.0
Research & Development,Research Scientist,false,2,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,2865.5,23.5,2.5,3.0
Research & Development,Research Scientist,false,3,3,Under 30,0-2 New Hires,3,1,33.33,3070.0,6.7,1.0,2.3
Research & Development,Research Scientist,false,3,1,Over 50,0-2 New Hires,1,0,0.0,2372.0,23.0,2.0,3.0
Research & Development,Research Scientist,true,1,3,30 to 50,6+ Veterans,1,0,0.0,5974.0,6.0,7.0,2.0
Research & Development,Research Scientist,false,4,4,30 to 50,3-5 Mid-Tenure,3,0,0.0,2334.33,12.0,1.7,3.0
Research & Development,Research Scientist,false,4,1,30 to 50,0-2 New Hires,2,0,0.0,2813.0,8.5,1.0,3.5
Research & Development,Research Scientist,true,1,1,Under 30,3-5 Mid-Tenure,1,1,100.0,2042.0,2.0,2.0,2.0
Research & Development,Research Scientist,false,3,1,Under 30,3-5 Mid-Tenure,3,0,0.0,2237.0,3.7,3.0,4.0
Research & Development,Research Scientist,true,4,4,Under 30,0-2 New Hires,1,1,100.0,2439.0,24.0,0.0,3.0
Research & Development,Research Scientist,true,3,4,Under 30,0-2 New Hires,1,1,100.0,1009.0,10.0,1.0,5.0
Research & Development,Research Scientist,true,2,1,Under 30,6+ Veterans,1,1,100.0,2216.0,1.0,7.0,4.0
Research & Development,Research Scientist,true,3,4,30 to 50,0-2 New Hires,2,1,50.0,3222.5,5.5,0.5,0.0
Research & Development,Research Scientist,false,4,4,Over 50,3-5 Mid-Tenure,1,0,0.0,4258.0,19.0,2.0,3.0
Research & Development,Research Scientist,false,2,1,Under 30,0-2 New Hires,1,0,0.0,2244.0,11.0,2.0,1.0
Research & Development,Research Scientist,false,1,1,Under 30,6+ Veterans,1,1,100.0,2362.0,1.0,7.0,2.0
Research & Development,Research Scientist,false,1,4,Under 30,3-5 Mid-Tenure,2,0,0.0,2932.5,14.5,3.0,2.5
Research & Development,Research Scientist,false,1,4,30 to 50,0-2 New Hires,1,0,0.0,2956.0,1.0,0.0,2.0
Research & Development,Research Scientist,true,3,3,30 to 50,6+ Veterans,3,1,33.33,3393.67,6.0,2.0,3.0
Research & Development,Research Scientist,true,2,4,30 to 50,0-2 New Hires,2,0,0.0,5289.5,5.5,0.0,2.0
Research & Development,Research Scientist,true,3,3,Under 30,0-2 New Hires,1,0,0.0,2566.0,3.0,1.0,2.0
Research & Development,Research Scientist,true,4,3,30 to 50,6+ Veterans,1,0,0.0,5747.0,22.0,11.0,3.0
Research & Development,Research Scientist,true,3,2,30 to 50,6+ Veterans,1,0,0.0,4449.0,25.0,7.0,2.0
Research & Development,Research Scientist,true,1,1,30 to 50,6+ Veterans,1,1,100.0,3348.0,3.0,7.0,3.0
Research & Development,Research Scientist,true,4,2,Under 30,6+ Veterans,1,0,0.0,2725.0,23.0,4.0,3.0
Research & Development,Research Scientist,true,1,3,Over 50,0-2 New Hires,1,0,0.0,4257.0,8.0,2.0,3.0
Research & Development,Research Scientist,false,4,2,Over 50,3-5 Mid-Tenure,1,0,0.0,2662.0,2.0,4.0,2.0
Research & Development,Research Scientist,true,4,3,Under 30,3-5 Mid-Tenure,1,1,100.0,2389.0,18.0,1.0,3.0
Research & Development,Research Scientist,true,4,2,30 to 50,3-5 Mid-Tenure,2,0,0.0,2381.0,5.0,2.0,2.5
Research & Development,Research Scientist,false,3,4,30 to 50,0-2 New Hires,4,0,0.0,2399.5,10.0,1.0,2.0
Research & Development,Research Scientist,true,4,4,30 to 50,3-5 Mid-Tenure,3,0,0.0,3072.67,2.0,2.3,2.7
Research & Development,Research Scientist,false,1,3,Under 30,3-5 Mid-Tenure,1,0,0.0,3591.0,1.0,2.0,3.0
Research & Development,Research Scientist,false,4,3,Under 30,6+ Veterans,3,0,0.0,2766.33,17.0,5.3,2.3
Research & Development,Research Scientist,false,4,4,Under 30,3-5 Mid-Tenure,4,0,0.0,2540.25,10.5,2.5,2.5
Research & Development,Research Scientist,false,3,4,Under 30,3-5 Mid-Tenure,3,0,0.0,3048.0,3.3,1.3,2.0
Research & Development,Research Scientist,false,4,4,30 to 50,6+ Veterans,5,0,0.0,4172.6,13.4,10.0,3.0
Research & Development,Research Scientist,false,3,4,Over 50,3-5 Mid-Tenure,1,0,0.0,4869.0,20.0,3.0,4.0
Research & Development,Research Scientist,false,1,1,Under 30,3-5 Mid-Tenure,2,0,0.0,3121.5,3.0,1.5,3.0
Research & Development,Research Scientist,false,1,4,Under 30,6+ Veterans,1,0,0.0,4774.0,15.0,3.0,2.0
Research & Development,Research Scientist,true,2,4,Under 30,3-5 Mid-Tenure,1,0,0.0,2328.0,5.0,2.0,2.0
Research & Development,Research Scientist,false,1,2,30 to 50,6+ Veterans,1,0,0.0,5208.0,18.0,10.0,2.0
Research & Development,Research Scientist,false,2,3,30 to 50,0-2 New Hires,2,0,0.0,3503.0,3.5,0.0,3.5
Research & Development,Research Scientist,false,4,4,Over 50,6+ Veterans,1,0,0.0,6854.0,7.0,7.0,2.0
Research & Development,Research Scientist,true,3,2,Under 30,3-5 Mid-Tenure,1,0,0.0,2814.0,26.0,3.0,2.0
Research & Development,Research Scientist,true,4,1,Under 30,0-2 New Hires,1,1,100.0,4787.0,1.0,2.0,3.0
Research & Development,Research Scientist,false,3,2,Under 30,0-2 New Hires,2,0,0.0,1916.0,9.0,0.0,3.0
Research & Development,Research Scientist,false,3,1,30 to 50,3-5 Mid-Tenure,6,0,0.0,2999.83,19.7,2.3,2.5
Research & Development,Research Scientist,false,3,3,Under 30,3-5 Mid-Tenure,2,0,0.0,3272.5,12.5,4.0,2.0
Research & Development,Research Scientist,false,3,3,30 to 50,0-2 New Hires,6,0,0.0,2376.0,7.5,1.0,2.2
Research & Development,Research Scientist,false,1,3,30 to 50,6+ Veterans,3,0,0.0,3102.33,14.7,3.3,3.0
Research & Development,Research Scientist,false,2,4,30 to 50,6+ Veterans,5,0,0.0,4518.4,5.6,6.6,3.0
Research & Development,Research Scientist,true,2,2,30 to 50,0-2 New Hires,1,0,0.0,2372.0,7.0,0.0,2.0
Research & Development,Research Scientist,true,1,2,30 to 50,0-2 New Hires,1,0,0.0,3419.0,5.0,0.0,3.0
Sales,Manager,false,1,2,30 to 50,6+ Veterans,1,0,0.0,16595.0,2.0,8.0,2.0
Sales,Manager,false,3,3,30 to 50,6+ Veterans,1,0,0.0,18041.0,2.0,12.0,2.0
Sales,Manager,true,4,4,30 to 50,0-2 New Hires,1,0,0.0,13591.0,6.0,0.0,3.0
Sales,Manager,false,2,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,15972.0,2.0,2.0,2.0
Sales,Manager,true,3,1,Over 50,6+ Veterans,1,0,0.0,19068.0,2.0,12.0,2.0
Sales,Manager,true,4,3,30 to 50,6+ Veterans,1,0,0.0,16959.0,26.0,12.0,3.0
Sales,Manager,false,1,3,Over 50,6+ Veterans,1,0,0.0,16856.0,3.0,16.0,3.0
Sales,Manager,false,2,1,Over 50,6+ Veterans,1,0,0.0,16835.0,18.0,7.0,2.0
Sales,Manager,false,3,3,Over 50,6+ Veterans,1,0,0.0,14852.0,2.0,2.0,3.0
Sales,Manager,true,4,2,Over 50,6+ Veterans,1,0,0.0,11904.0,1.0,4.0,1.0
Sales,Manager,false,2,2,Over 50,6+ Veterans,1,0,0.0,16291.0,2.0,14.0,0.0
Sales,Manager,false,3,1,30 to 50,6+ Veterans,1,0,0.0,17465.0,3.0,9.0,3.0
Sales,Manager,true,4,4,Over 50,0-2 New Hires,1,0,0.0,17875.0,21.0,0.0,2.0
Sales,Manager,true,2,3,30 to 50,6+ Veterans,1,0,0.0,16872.0,2.0,7.0,2.0
Sales,Manager,false,4,4,30 to 50,6+ Veterans,2,0,0.0,18583.5,6.0,3.5,3.5
Sales,Manager,true,2,4,Over 50,6+ Veterans,1,0,0.0,19847.0,9.0,10.0,5.0
Sales,Manager,false,2,2,30 to 50,6+ Veterans,2,0,0.0,19023.0,6.0,9.0,4.0
Sales,Manager,false,1,3,30 to 50,6+ Veterans,1,0,0.0,17048.0,2.0,9.0,2.0
Sales,Manager,false,4,1,Over 50,6+ Veterans,2,1,50.0,17636.0,2.0,8.0,3.0
Sales,Manager,false,3,4,30 to 50,6+ Veterans,1,0,0.0,17444.0,17.0,0.0,2.0
Sales,Manager,false,2,3,30 to 50,6+ Veterans,1,0,0.0,16606.0,3.0,1.0,2.0
Sales,Manager,true,4,4,30 to 50,6+ Veterans,1,0,0.0,16064.0,16.0,9.0,3.0
Sales,Manager,false,2,4,30 to 50,6+ Veterans,2,0,0.0,17402.0,3.0,6.0,2.0
Sales,Manager,false,3,1,Over 50,6+ Veterans,1,0,0.0,16307.0,26.0,17.0,2.0
Sales,Manager,true,2,1,30 to 50,6+ Veterans,1,1,100.0,18824.0,2.0,11.0,2.0
Sales,Manager,false,4,3,Over 50,6+ Veterans,1,0,0.0,19586.0,26.0,13.0,3.0
Sales,Manager,false,3,1,30 to 50,0-2 New Hires,1,0,0.0,12504.0,29.0,0.0,3.0
Sales,Manager,false,4,1,Over 50,0-2 New Hires,1,0,0.0,14118.0,29.0,0.0,3.0
Sales,Manager,false,3,4,30 to 50,0-2 New Hires,1,0,0.0,18303.0,5.0,0.0,3.0
Sales,Manager,true,3,3,30 to 50,0-2 New Hires,1,0,0.0,19331.0,9.0,0.0,2.0
Sales,Manager,false,1,2,30 to 50,0-2 New Hires,1,0,0.0,18947.0,2.0,1.0,2.0
Sales,Manager,false,1,4,30 to 50,6+ Veterans,1,0,0.0,17567.0,1.0,12.0,5.0
Sales,Manager,false,4,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,11557.0,7.0,1.0,3.0
Sales,Sales Executive,true,2,2,Over 50,6+ Veterans,1,1,100.0,8446.0,5.0,7.0,2.0
Sales,Sales Executive,true,4,1,30 to 50,3-5 Mid-Tenure,2,1,50.0,5712.0,20.0,4.0,2.5
Sales,Sales Executive,false,3,3,Under 30,6+ Veterans,2,0,0.0,6958.0,10.0,5.5,3.0
Sales,Sales Executive,false,3,4,30 to 50,6+ Veterans,9,0,0.0,7066.78,10.0,5.9,2.3
Sales,Sales Executive,true,3,2,30 to 50,0-2 New Hires,1,1,100.0,4559.0,20.0,2.0,2.0
Sales,Sales Executive,true,2,1,30 to 50,6+ Veterans,2,1,50.0,6120.5,21.5,9.5,2.0
Sales,Sales Executive,false,3,4,Under 30,6+ Veterans,2,0,0.0,9353.5,14.0,7.0,1.0
Sales,Sales Executive,false,3,3,30 to 50,6+ Veterans,6,1,16.67,7860.0,7.7,7.2,2.7
Sales,Sales Executive,false,2,2,30 to 50,6+ Veterans,2,0,0.0,6100.5,3.5,6.5,3.5
Sales,Sales Executive,false,4,2,30 to 50,6+ Veterans,10,0,0.0,8220.5,8.9,5.6,3.0
Sales,Sales Executive,false,1,2,Under 30,0-2 New Hires,1,1,100.0,4969.0,29.0,2.0,6.0
Sales,Sales Executive,true,4,2,Over 50,6+ Veterans,1,0,0.0,5220.0,7.0,9.0,3.0
Sales,Sales Executive,false,2,2,Over 50,3-5 Mid-Tenure,1,0,0.0,10596.0,2.0,2.0,5.0
Sales,Sales Executive,true,4,3,Under 30,6+ Veterans,1,0,0.0,6834.0,1.0,7.0,2.0
Sales,Sales Executive,true,4,2,Under 30,3-5 Mid-Tenure,1,0,0.0,4487.0,4.0,3.0,3.0
Sales,Sales Executive,true,1,3,30 to 50,3-5 Mid-Tenure,2,0,0.0,4772.0,3.0,2.5,3.0
Sales,Sales Executive,true,4,3,Over 50,6+ Veterans,1,0,0.0,5441.0,21.0,0.0,2.0
Sales,Sales Executive,true,3,2,30 to 50,3-5 Mid-Tenure,2,2,100.0,6596.5,17.5,3.0,3.0
Sales,Sales Executive,true,2,3,Under 30,3-5 Mid-Tenure,1,0,0.0,6349.0,1.0,4.0,0.0
Sales,Sales Executive,true,3,4,30 to 50,3-5 Mid-Tenure,2,1,50.0,7108.0,10.0,1.0,1.5
Sales,Sales Executive,true,4,3,30 to 50,6+ Veterans,7,2,28.57,7427.43,9.3,6.7,3.6
Sales,Sales Executive,true,2,2,30 to 50,0-2 New Hires,1,1,100.0,13194.0,24.0,0.0,2.0
Sales,Sales Executive,false,3,1,Over 50,3-5 Mid-Tenure,1,0,0.0,5473.0,1.0,3.0,2.0
Sales,Sales Executive,false,4,3,30 to 50,0-2 New Hires,3,0,0.0,8044.33,19.0,1.0,4.7
Sales,Sales Executive,false,4,4,Under 30,3-5 Mid-Tenure,1,0,0.0,6931.0,20.0,2.0,2.0
Sales,Sales Executive,false,1,2,30 to 50,6+ Veterans,7,1,14.29,9002.43,6.0,7.3,2.9
Sales,Sales Executive,true,3,2,30 to 50,6+ Veterans,2,1,50.0,5922.5,8.0,7.0,3.5
Sales,Sales Executive,false,1,1,30 to 50,0-2 New Hires,2,1,50.0,5339.0,17.0,1.0,5.0
Sales,Sales Executive,false,4,3,Under 30,6+ Veterans,1,0,0.0,6180.0,26.0,4.0,5.0
Sales,Sales Executive,false,4,4,Under 30,6+ Veterans,2,0,0.0,4588.0,5.5,3.5,4.0
Sales,Sales Executive,true,4,4,30 to 50,6+ Veterans,4,1,25.0,7477.75,11.5,8.3,1.8
Sales,Sales Executive,true,1,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,5454.0,1.0,3.0,2.0
Sales,Sales Executive,false,1,2,30 to 50,3-5 Mid-Tenure,2,1,50.0,4897.0,15.5,3.0,2.0
Sales,Sales Executive,false,2,1,Under 30,3-5 Mid-Tenure,2,1,50.0,6018.5,20.5,2.0,4.5
Sales,Sales Executive,true,1,1,30 to 50,6+ Veterans,1,0,0.0,5605.0,7.0,7.0,3.0
Sales,Sales Executive,false,3,1,Under 30,6+ Veterans,1,0,0.0,6500.0,2.0,7.0,5.0
Sales,Sales Executive,false,1,4,Over 50,0-2 New Hires,1,0,0.0,5380.0,11.0,0.0,3.0
Sales,Sales Executive,false,3,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,6577.0,12.0,4.0,6.0
Sales,Sales Executive,false,1,3,30 to 50,6+ Veterans,7,1,14.29,6454.86,15.1,6.0,3.3
Sales,Sales Executive,false,2,1,30 to 50,6+ Veterans,2,1,50.0,9094.5,6.5,7.0,5.5
Sales,Sales Executive,false,2,3,30 to 50,6+ Veterans,8,1,12.5,8150.0,13.4,6.9,2.6
Sales,Sales Executive,true,1,1,Over 50,0-2 New Hires,1,1,100.0,10448.0,24.0,2.0,2.0
Sales,Sales Executive,false,3,1,30 to 50,6+ Veterans,3,1,33.33,9699.33,2.0,9.0,3.7
Sales,Sales Executive,true,1,1,30 to 50,3-5 Mid-Tenure,1,1,100.0,8224.0,9.0,3.0,3.0
Sales,Sales Executive,false,4,3,Under 30,3-5 Mid-Tenure,3,0,0.0,4658.67,9.3,1.3,3.7
Sales,Sales Executive,false,4,4,30 to 50,0-2 New Hires,4,0,0.0,6033.5,7.3,1.0,4.0
Sales,Sales Executive,false,4,1,Over 50,0-2 New Hires,2,0,0.0,11037.5,4.5,1.0,3.5
Sales,Sales Executive,true,2,4,Under 30,6+ Veterans,1,0,0.0,8268.0,10.0,7.0,2.0
Sales,Sales Executive,false,3,1,Under 30,3-5 Mid-Tenure,2,0,0.0,5615.5,10.5,2.0,2.5
Sales,Sales Executive,true,3,1,Over 50,6+ Veterans,1,1,100.0,13695.0,13.0,8.0,2.0
Sales,Sales Executive,false,2,2,30 to 50,3-5 Mid-Tenure,3,0,0.0,5079.67,11.7,2.7,3.0
Sales,Sales Executive,false,2,4,Under 30,3-5 Mid-Tenure,1,0,0.0,4851.0,8.0,2.0,4.0
Sales,Sales Executive,true,3,4,30 to 50,6+ Veterans,5,0,0.0,8617.2,5.2,8.0,3.2
Sales,Sales Executive,false,3,4,Under 30,3-5 Mid-Tenure,1,0,0.0,4649.0,2.0,2.0,3.0
Sales,Sales Executive,false,3,3,30 to 50,3-5 Mid-Tenure,4,0,0.0,6121.75,11.0,1.8,3.8
Sales,Sales Executive,false,4,2,30 to 50,3-5 Mid-Tenure,2,0,0.0,7200.5,9.0,2.5,2.5
Sales,Sales Executive,true,4,1,30 to 50,6+ Veterans,2,1,50.0,5694.5,15.5,8.0,4.0
Sales,Sales Executive,true,1,3,30 to 50,6+ Veterans,2,1,50.0,11362.0,14.5,10.5,2.0
Sales,Sales Executive,false,4,1,30 to 50,6+ Veterans,12,1,8.33,7442.25,7.1,6.3,2.8
Sales,Sales Executive,false,3,4,30 to 50,0-2 New Hires,2,0,0.0,5817.5,16.0,1.0,2.0
Sales,Sales Executive,true,3,4,Under 30,0-2 New Hires,1,1,100.0,9854.0,13.0,2.0,0.0
Sales,Sales Executive,true,4,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,8103.0,3.0,1.0,3.0
Sales,Sales Executive,true,2,3,30 to 50,0-2 New Hires,1,1,100.0,9907.0,2.0,2.0,3.0
Sales,Sales Executive,true,3,4,30 to 50,0-2 New Hires,4,2,50.0,5446.0,13.0,1.0,2.8
Sales,Sales Executive,false,3,1,30 to 50,0-2 New Hires,2,1,50.0,6464.5,8.5,0.0,3.0
Sales,Sales Executive,true,1,4,30 to 50,3-5 Mid-Tenure,2,1,50.0,10807.5,18.5,1.0,2.5
Sales,Sales Executive,true,1,3,Under 30,3-5 Mid-Tenure,1,0,0.0,4194.0,3.0,3.0,3.0
Sales,Sales Executive,true,3,3,Under 30,6+ Veterans,1,1,100.0,5744.0,5.0,3.0,1.0
Sales,Sales Executive,false,3,3,Over 50,6+ Veterans,1,0,0.0,10686.0,2.0,0.0,4.0
Sales,Sales Executive,true,4,2,30 to 50,6+ Veterans,3,1,33.33,6258.67,1.3,7.0,1.0
Sales,Sales Executive,false,3,2,30 to 50,0-2 New Hires,1,0,0.0,6815.0,1.0,0.0,5.0
Sales,Sales Executive,false,1,4,Over 50,6+ Veterans,2,0,0.0,7160.5,2.0,7.5,3.0
Sales,Sales Executive,true,4,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,7457.0,1.0,2.0,2.0
Sales,Sales Executive,false,1,3,Under 30,3-5 Mid-Tenure,3,0,0.0,4626.0,12.3,3.3,2.0
Sales,Sales Executive,false,2,3,30 to 50,0-2 New Hires,1,0,0.0,4978.0,2.0,0.0,3.0
Sales,Sales Executive,false,2,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,5008.5,4.5,2.5,4.0
Sales,Sales Executive,false,1,3,30 to 50,0-2 New Hires,2,0,0.0,8209.0,17.5,1.5,2.5
Sales,Sales Executive,false,4,1,Under 30,3-5 Mid-Tenure,1,0,0.0,4908.0,5.0,2.0,3.0
Sales,Sales Executive,true,2,1,Under 30,6+ Veterans,1,0,0.0,4187.0,5.0,9.0,3.0
Sales,Sales Executive,false,2,1,30 to 50,0-2 New Hires,2,1,50.0,8220.0,5.5,0.0,2.0
